fouriermax F1,fouriermax F2,fouriermax F3,fouriermax F4,fouriermax F5,fouriermax F6,fouriermax F7,fouriermax F8,fouriermax F9,fouriermax F10,label
178175.35874999993,17534.092500000006,245.96499999998355,264519.4212499999,138130.86250000005,93853.65500000009,3053.2899999999977,394237.1112499999,286222.6124999998,379202.58874999976,A
218205.71249999988,29858.762500000023,525.0087499999927,295453.6375000002,181469.53999999995,119335.64499999995,4419.833750000003,426928.1587500003,309870.85374999995,407059.2387499999,A
121967.04624999993,8565.241250000008,268.03375000001097,225436.69375000012,92383.98750000005,65976.83500000005,1785.2612499999966,345048.9862499999,231518.93250000002,326922.77125000005,A
152126.27999999988,12160.407499999996,229.56625000001645,249687.13250000018,114332.64625000005,77568.48,2167.348749999999,385844.08124999976,265599.8474999999,358189.8875000002,A
194220.12125000003,21773.820000000018,476.0162499999799,271165.4025,160060.4087500001,104486.56999999998,3344.1750000000047,399829.4574999999,281382.7050000001,374693.1687500002,A
203997.77374999988,24664.388750000006,480.2887499999872,280037.04624999996,167519.83500000002,108311.88499999997,3643.423750000001,416130.0287499997,289932.02250000014,383075.37625000015,A
136596.58249999993,10535.872499999994,192.2037499999799,237415.11874999988,102951.32249999995,69092.62125000003,1988.0237500000017,381377.2850000001,236876.83749999988,337934.22749999986,A
145030.25875000004,11858.301249999986,270.79375000000914,242113.2037500001,106954.63249999995,71853.56125000003,2109.8574999999987,385658.2449999997,247955.8887499999,344994.4937500001,A
128035.00999999994,8503.388749999987,202.84375,227961.4225000001,91595.81875000002,64626.61124999993,1652.9262500000032,363163.58874999976,222223.68250000002,322745.4800000001,A
117922.72124999999,7770.853749999991,365.8962500000018,219634.64999999988,81537.58125000005,58543.87749999999,1507.0812500000034,357126.96374999976,217456.69500000015,316841.99749999976,A
122191.53500000009,8104.776250000006,407.6887500000055,216240.89625000005,86795.3125,61244.95125000007,1596.1812500000024,345464.7525000003,213238.13874999993,313599.9525000001,A
182487.38499999995,17005.54124999999,650.7349999999799,271927.0975,139299.34500000012,92794.53750000002,2671.8087499999992,408898.96875,271457.59124999976,377503.20875000005,A
127499.18500000001,9022.383749999992,333.0387499999872,227649.75374999995,86817.52499999998,61466.21625000001,1576.6287500000005,366222.71499999997,222376.07124999992,324630.40499999985,A
114915.9700000001,7484.1625000000095,461.95749999999634,214300.14250000007,77402.01875000005,54245.40000000004,693.3449999999993,352542.41624999995,213738.13374999992,313201.59500000015,A
113808.4049999999,7524.776250000006,280.7487499999945,209840.62999999998,76284.84750000002,55870.84499999998,1502.0812500000034,346143.2074999999,210265.7374999999,307536.1687500002,A
137318.06,9899.262500000017,250.15499999999452,236111.7962499999,94759.32375000003,66375.29624999994,1475.3849999999982,376944.1724999998,239187.30124999987,340251.3074999998,A
128989.7225000001,9370.89250000001,467.8512499999872,227035.41875000013,88889.40874999999,62259.22249999997,1712.7112500000028,367052.2662499998,227915.18624999985,328495.9425000002,A
116066.38625000005,7801.8412499999895,254.04999999999086,221117.32749999993,78903.645,56954.509999999995,1518.9149999999997,355785.37124999997,216856.9887499999,316965.3875000002,A
134267.91624999995,10179.653749999994,330.5712499999927,223316.87625000015,96119.00499999998,68093.46999999997,1795.4487499999966,346902.21875,220656.90625,323406.86500000005,A
130287.5037500001,9167.77499999999,453.15625,232352.00499999998,92709.92000000009,68217.80625000004,2064.3849999999984,356530.7787499997,228612.38750000013,338130.55500000034,A
160257.72874999995,13400.259999999987,355.06750000002194,258088.16999999987,116132.8887500001,81721.50749999999,2483.8287500000015,392705.8887500001,257171.77750000008,365974.59750000003,A
97614.08749999997,6199.923750000014,247.8199999999872,201083.46375000002,65651.3425,49740.89750000005,1484.3425000000013,331212.57625000004,195032.18124999988,297817.10249999986,A
156001.5225,12489.210000000008,312.0787499999799,252353.85000000012,109853.97750000004,77408.20125000009,2374.7937499999957,388247.17249999975,251884.69000000018,361558.2937500002,A
197253.06500000015,22383.15999999998,564.033750000011,284156.42124999996,155060.87000000002,104245.2824999999,3498.157500000001,414328.5562500002,284128.40625,394407.00125000015,A
166161.57500000004,14916.208750000013,333.70624999999086,255683.24125000014,121362.31875000006,83703.3125,2666.2874999999976,392519.5174999999,251849.00374999992,366312.11500000005,A
118659.10874999994,8214.3125,356.4449999999872,217721.6875,80749.70250000003,58620.363750000026,1588.8149999999982,352847.695,213749.97374999998,322926.49749999976,A
164615.3999999999,14606.024999999989,428.8187499999817,258823.21375000002,118867.59874999998,81988.86374999999,2475.5987499999983,398122.2325000001,260958.30999999976,371933.80250000005,A
220271.44375000012,29630.048749999994,679.53125,302201.87625000015,179092.6487499999,118712.42624999995,4281.300000000005,434827.98125000024,303932.15875000024,408533.20125000016,A
160591.47374999998,13431.390000000003,328.9749999999817,252712.06875000012,115530.28374999999,77637.90999999995,2434.6587499999973,397431.97874999995,253202.35374999995,361619.4662499997,A
143193.53125,10860.932499999999,273.0074999999872,239308.00499999998,99767.35624999994,67499.12999999998,2055.473749999999,384899.26874999976,242050.21124999982,346951.71749999985,A
140264.20749999993,10397.19875000001,192.12249999998903,236963.5287499998,99228.07249999995,63552.784999999974,46.18874999999977,382094.8550000001,239963.78624999998,350204.75874999986,A
164127.22000000012,14241.171250000003,453.9987499999945,256022.8125,120996.49624999991,88170.92874999999,4384.661249999996,399768.9024999999,259418.59500000018,368965.25999999995,A
190455.04499999995,19988.74125000002,570.2937500000091,274266.94125,147861.25375000006,95486.39499999997,3113.6575000000007,415418.7899999998,280894.86874999997,388724.5050000003,A
136781.9975,10841.378749999993,509.3050000000128,228461.50499999998,97937.04374999994,65047.1175,2103.7637499999987,375585.5587499999,235792.67750000005,341371.20374999987,A
143361.4962499999,11505.861250000005,208.3512499999872,240433.5625,106064.50999999995,68871.79624999994,1713.5212500000018,385496.2012500001,245166.7949999999,354444.16375,A
217201.2612500001,28169.72124999999,600.0775000000201,293608.49874999985,180683.87249999988,115770.54000000005,4017.8837499999963,432738.35374999995,306595.92875000014,403132.1900000003,B
216076.68375000005,28191.026250000014,474.73000000000366,294557.67875000014,183640.84124999988,117854.08625000002,4052.5,432368.1187500002,299610.87625000015,399212.3324999999,B
162249.00750000004,14051.40625,268.0174999999854,253104.47125000018,125653.92124999991,82443.11625,2419.9174999999977,400566.6424999999,257806.38125000012,358210.19125000003,B
159791.05750000002,13683.876249999996,151.20499999998538,251844.66499999986,120567.22250000009,79862.73250000009,2289.241250000001,398226.9887499999,259053.46875,358907.0687499999,B
224896.00125000015,34644.366250000036,1114.8937499999909,295532.765,216609.78375000018,137237.69875000007,5301.933749999999,434506.09875000035,294889.41125000006,406061.66875000024,B
188492.07875000007,19664.59749999998,457.3424999999945,274602.19624999986,161124.42124999993,102198.73874999997,3266.6200000000035,420220.10625000024,275527.8812500001,380182.18875000015,B
163476.29124999995,14860.710000000008,613.8212499999927,252394.59375,141409.66500000004,89602.46875,2847.9937500000024,407112.71125000034,259775.40750000018,366641.4574999999,B
169704.49249999993,16157.283749999995,499.61374999999634,265526.1187499999,137028.92500000005,89487.82999999991,2755.5837500000016,412586.10374999995,272459.64125000004,375124.99125000014,B
176180.95124999998,18124.716250000005,343.7100000000073,261792.33749999988,147580.59249999988,94668.75749999999,2987.1612499999965,404816.1575000002,272249.4199999999,369443.53250000015,B
137195.91124999998,10529.682499999999,362.23874999999634,183653.29375000007,101284.77499999997,71615.62999999998,2598.3587499999985,319919.4487500001,136099.68625000012,332839.63499999995,B
165980.625,16203.457499999982,452.11249999999086,213073.29499999993,125122.16750000007,86481.43625000007,3309.7287499999984,350461.69125000003,173503.24125000005,356677.41499999986,B
204252.88125000012,27174.730000000025,1552.7287499999982,252755.84749999992,187028.91750000007,121398.42250000009,5974.723749999995,385073.9812500002,209117.77874999982,384660.97749999986,B
148931.165,12619.878749999989,420.7287499999982,215181.97625000015,112163.46625000001,77496.36375,2953.6187500000024,357017.7374999998,187256.53624999998,341655.19624999986,B
134672.61624999993,10471.516249999997,734.6787500000073,207417.1050000001,97401.32125000002,68378.25,3607.685000000001,348768.85374999995,186850.73500000007,329519.55999999976,B
157461.27999999988,14037.237499999981,611.9512500000146,231803.9037499998,119212.31749999998,81670.85750000009,3134.0674999999965,371227.29124999995,213095.30250000005,356046.17750000005,B
192071.0425000001,21477.01999999998,1063.95374999998,262206.10374999995,154036.60874999993,103094.70875000003,5063.86875,399200.4149999998,243363.77125000005,384088.4187500002,B
158657.32875000007,13769.564999999999,489.5099999999982,235668.74874999985,117582.94375000006,80056.92875,3017.1737500000013,377965.19624999986,221650.80750000002,353548.64625000005,B
109376.12749999999,6747.359999999998,637.9774999999927,206822.98374999993,75779.61875000001,56101.58250000002,1456.5187500000034,330061.7249999999,209518.9800000001,299581.99374999997,B
168291.32875000007,14456.674999999981,601.1075000000146,254547.1399999999,124407.58875000002,85955.46500000008,2396.0512500000027,384111.0112500001,260225.5149999999,358373.78125,B
188386.92250000007,18501.622500000005,682.8062500000183,272005.1375000002,145720.44125000006,98077.61000000007,3041.8849999999984,402884.29625000025,272091.84625000024,372368.91000000003,B
220192.98125000013,29361.06000000001,666.7287499999982,296620.97749999986,179653.53624999998,116798.97874999997,4334.765000000001,434874.3462500003,291445.28250000015,404078.2474999997,B
156262.93624999988,12987.082499999986,278.3062500000183,250026.19500000018,112241.80374999995,76403.51625000007,2388.6125000000043,394440.67125000025,248972.5162500001,358136.4212500002,B
169351.32500000004,15385.445000000003,288.1937499999817,254936.7337499999,116476.44499999995,78144.50999999998,2490.8249999999957,400314.1849999997,259013.06875000012,362880.8150000003,B
199277.2625000001,23295.03999999998,584.8587500000201,271523.14625000005,152039.65875000006,99772.66874999992,3443.2850000000008,410720.2774999999,279244.5437500001,380289.47375000024,B
230623.46375000002,35477.82500000001,738.9387500000055,306787.75250000024,195884.89750000005,127697.3887500001,4899.633749999995,439212.6962499998,299814.1300000001,411497.3012499999,B
193761.82124999995,22145.59624999999,613.2300000000037,262558.25125000015,152053.74874999988,98753.76875000008,3503.2075000000004,403455.3175000003,259702.1325000002,369823.61875000014,B
216200.96624999982,28336.25,813.8550000000037,288789.69125,174498.715,110686.60624999992,3204.9375,429807.3187499998,286247.29750000004,396769.9024999999,B
208706.84124999982,25340.545000000006,589.9749999999817,287599.78375000024,167453.8687499999,107850.87999999998,3890.1787500000037,429206.8362500004,283518.71624999976,396244.1600000001,B
197530.31624999997,22336.131249999995,483.4837500000201,276957.535,154926.21,100704.95749999997,3472.5737499999996,419838.9124999998,276836.4862500001,384833.78999999986,B
168187.86500000005,15130.331249999981,174.6337499999927,256921.51125000013,123582.81000000001,81701.06875,2585.53,402210.8137500002,255493.62000000002,365923.43374999997,B
180673.39125000007,17999.318750000006,430.5562500000183,261986.75999999995,141973.67000000007,88574.12874999992,2032.1000000000047,406189.2137499997,270867.0249999999,380756.53500000003,B
207409.01625000007,26045.568749999988,643.9912500000073,287104.40499999985,173256.26374999998,107386.72249999989,2038.9624999999955,426415.25,295451.24749999976,400371.6762499999,B
199464.88125000012,24233.87749999999,501.84375,269990.9924999998,167053.70249999993,105470.18250000002,2183.6037499999984,408965.0712499998,278000.5975,385463.8937499998,B
207922.1987500001,27055.965000000022,622.8662500000073,289632.71499999997,180980.30999999988,115766.43999999999,4298.313750000005,423210.44125000015,290233.48375,400907.73375000025,B
197262.60374999995,22544.25249999999,582.966249999989,276577.72749999986,161461.0562499999,100540.05750000002,1653.013750000002,418283.37374999985,280688.86999999994,389465.3012499999,B
