gradmax F1,gradmax F2,gradmax F3,gradmax F4,gradmax F5,gradmax F6,gradmax F7,gradmax F8,gradmax F9,gradmax F10,label
189.99999999999864,14.375000000000057,1.250000000000004,638.1250000000023,270.6250000000009,185.00000000000068,4.375000000000014,1073.7500000000027,561.8750000000023,1053.1250000000045,A
274.37499999999864,23.750000000000227,2.4999999999999645,840.6249999999955,416.25000000000136,271.8750000000009,6.249999999999968,1433.1249999999918,710.0000000000023,1261.250000000004,A
110.00000000000045,7.500000000000028,1.2499999999999822,414.37500000000136,138.12500000000045,100.00000000000034,3.1249999999999947,670.0000000000018,334.9999999999984,734.3749999999964,A
145.00000000000068,10.000000000000028,1.2499999999999822,533.7499999999973,201.25000000000068,138.74999999999932,3.750000000000014,889.3750000000036,451.25000000000136,895.6250000000032,A
212.5000000000009,16.875000000000114,1.2500000000000047,703.1249999999964,306.2499999999984,216.8750000000009,4.375000000000018,1177.5000000000045,579.3749999999973,1075.000000000004,A
233.74999999999818,19.375000000000114,1.250000000000007,756.8750000000027,348.7499999999982,236.87500000000068,4.375000000000018,1311.2499999999936,645.6250000000027,1162.5000000000036,A
123.75000000000045,8.125000000000057,1.2499999999999822,473.1249999999977,170.62500000000068,117.49999999999886,3.1250000000000107,808.1250000000036,366.87500000000114,782.5000000000027,A
137.50000000000045,9.375000000000085,1.2499999999999822,512.4999999999968,186.8750000000009,131.25000000000045,3.1250000000000107,871.8750000000027,404.37500000000136,829.3749999999959,A
113.12500000000045,7.500000000000057,0.6250000000000249,412.50000000000136,136.25000000000045,97.49999999999943,2.500000000000009,678.7500000000018,318.12500000000136,680.0000000000023,A
101.25000000000045,6.875000000000085,0.6250000000000249,367.50000000000136,112.50000000000045,82.50000000000034,2.500000000000007,621.8750000000018,288.75000000000114,643.1250000000023,A
106.87500000000045,6.875000000000057,0.6250000000000284,402.4999999999977,134.37500000000057,95.62500000000034,2.5000000000000107,657.5000000000018,305.62499999999864,688.1250000000027,A
181.87500000000045,13.750000000000057,1.250000000000007,590.0000000000023,234.3750000000009,156.87500000000068,3.125000000000014,998.7499999999945,472.50000000000136,1003.1250000000032,A
112.50000000000045,7.500000000000114,1.2500000000000036,410.6249999999982,127.50000000000045,93.74999999999955,2.5000000000000107,688.7499999999964,314.37500000000114,693.1250000000023,A
98.12500000000045,6.250000000000028,0.6250000000000249,364.9999999999982,108.12500000000034,80.00000000000045,2.500000000000009,604.3750000000027,285.6250000000009,627.5000000000023,A
98.12500000000045,6.875000000000028,0.6250000000000258,368.1249999999982,110.62499999999955,81.87500000000034,2.500000000000009,620.0000000000027,287.50000000000136,633.7500000000023,A
121.87500000000068,8.125000000000057,1.2500000000000053,433.7499999999977,137.50000000000068,103.12500000000034,2.5000000000000098,727.4999999999955,341.2500000000009,755.0000000000023,A
113.75000000000023,7.500000000000057,1.2499999999999867,403.75000000000136,132.50000000000045,92.50000000000034,2.500000000000009,685.6249999999973,313.1250000000009,693.7500000000023,A
100.00000000000045,6.250000000000057,1.2499999999999822,385.00000000000136,111.87500000000045,83.75000000000023,2.500000000000009,638.1250000000027,293.12500000000114,655.6250000000027,A
120.00000000000045,8.125000000000057,1.2500000000000053,411.2500000000018,135.62500000000068,101.25000000000034,2.499999999999986,683.7500000000018,321.8749999999984,718.7499999999964,A
112.50000000000045,8.125000000000028,1.2499999999999822,415.00000000000136,125.62500000000045,96.87500000000034,3.1250000000000107,664.9999999999964,319.37500000000136,722.4999999999964,A
150.62500000000068,11.250000000000057,1.2500000000000044,530.6249999999968,176.25000000000068,128.12499999999932,3.7499999999999787,875.6250000000036,408.1250000000018,918.1250000000032,A
82.50000000000023,5.000000000000028,1.2500000000000049,318.12500000000136,87.49999999999943,65.62500000000023,2.500000000000009,522.4999999999964,241.8749999999984,575.6250000000023,A
147.49999999999955,10.000000000000085,0.6250000000000249,514.3750000000018,168.12500000000068,121.25000000000045,3.750000000000014,845.6250000000027,403.7499999999977,905.6250000000032,A
212.5000000000009,18.125000000000114,1.2500000000000044,681.8750000000027,262.5000000000007,183.75000000000068,4.375000000000016,1136.2500000000045,560.6250000000023,1194.9999999999932,A
162.5000000000009,11.875,0.6250000000000249,558.1250000000023,198.12500000000068,140.62499999999932,4.374999999999993,938.7499999999945,432.50000000000136,953.7500000000036,A
103.75000000000045,6.875000000000057,1.2499999999999867,383.12500000000136,116.24999999999955,84.37500000000034,3.1249999999999964,636.2500000000036,294.3749999999984,676.2499999999964,A
162.4999999999991,11.875000000000057,1.2499999999999822,551.8750000000018,190.62500000000068,134.37500000000057,3.750000000000014,892.5000000000036,437.4999999999977,966.2500000000036,A
258.7500000000009,23.750000000000114,1.250000000000007,794.9999999999959,336.8750000000009,224.37500000000045,4.999999999999998,1340.6250000000045,673.1250000000023,1314.3750000000045,A
155.6250000000009,11.250000000000057,1.2500000000000053,521.8749999999968,180.00000000000068,123.12499999999932,3.750000000000007,885.0000000000027,410.62500000000136,887.5000000000032,A
132.50000000000045,8.750000000000085,0.6250000000000249,461.2500000000018,147.50000000000045,102.50000000000034,3.125000000000014,772.4999999999964,365.00000000000114,781.2499999999964,A
126.87500000000045,8.750000000000028,0.6250000000000266,449.3750000000018,142.50000000000045,95.62500000000034,1.8750000000000284,754.9999999999955,350.6249999999982,774.3749999999955,A
156.2500000000009,11.250000000000057,0.6250000000000284,531.8749999999973,191.25000000000068,133.12499999999932,4.999999999999954,899.9999999999945,427.5000000000018,940.6250000000036,A
