time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,-0.1412499999998999,0.5625,0.1949999999999363,-1.3125,-2.4224999999999,-2.136250000000018,-0.0600000000000022,-1.6800000000000637,-1.5262499999998909,-2.6275000000000546
10.1,-0.1412499999998999,0.5625,0.0699999999999363,-1.4375,-2.5474999999999,-2.511250000000018,-0.0600000000000022,-1.805000000000064,-1.5262499999998909,-2.6275000000000546
10.2,-0.2662499999998999,0.5625,0.0699999999999363,-1.5625,-2.5474999999999,-2.636250000000018,-0.1850000000000022,-1.930000000000064,-1.5262499999998909,-2.6275000000000546
10.3,-0.2662499999998999,0.5625,-0.0550000000000636,-1.5625,-2.5474999999999,-2.761250000000018,-0.0600000000000022,-1.930000000000064,-1.5262499999998909,-2.7525000000000546
10.4,-0.2662499999998999,0.5625,-0.0550000000000636,-1.6875,-2.6724999999999,-2.761250000000018,-0.3100000000000023,-2.055000000000064,-1.5262499999998909,-2.7525000000000546
10.5,-0.2662499999998999,0.5625,-0.0550000000000636,-1.8125,-2.6724999999999,-2.886250000000018,-0.3100000000000023,-2.055000000000064,-1.4012499999998909,-2.7525000000000546
10.6,-0.2662499999998999,0.5625,-0.0550000000000636,-1.8125,-2.6724999999999,-3.011250000000018,-0.3100000000000023,-2.055000000000064,-1.5262499999998909,-2.5025000000000546
10.7,-0.3912499999998999,0.4375,-0.0550000000000636,-1.9375,-2.6724999999999,-3.011250000000018,-0.3100000000000023,-2.180000000000064,-1.5262499999998909,-2.0025000000000546
10.8,-0.2662499999998999,0.4375,-0.0550000000000636,-1.9375,-2.5474999999999,-2.886250000000018,-0.1850000000000022,-2.180000000000064,-1.4012499999998909,-0.8775000000000546
10.9,-0.1412499999998999,0.5625,-0.1800000000000636,-1.8125,-2.2974999999999,-2.636250000000018,-0.3100000000000023,-2.180000000000064,-1.2762499999998909,1.1224999999999454
11.0,-0.0162499999998999,0.4375,-0.1800000000000636,-1.6875,-1.9224999999999,-2.011250000000018,-0.1850000000000022,-2.180000000000064,-1.1512499999998909,4.747499999999945
11.1,0.3587500000001,0.4375,-0.1800000000000636,-1.1875,-1.2974999999999,-1.2612500000000182,-0.1850000000000022,-1.805000000000064,-0.5262499999998909,9.997499999999944
11.2,0.7337500000001,0.4375,-0.1800000000000636,-0.3125,-0.1724999999998999,0.1137499999999818,-0.0600000000000022,-1.0550000000000637,0.5987500000001091,17.622499999999945
11.3,1.3587500000001,0.3125,-0.1800000000000636,1.3125,1.2025000000001,1.8637499999999816,0.0649999999999977,0.3199999999999363,2.598750000000109,28.247499999999945
11.4,2.3587500000001,0.4375,-0.1800000000000636,3.8125,3.0775000000001,4.238749999999982,0.1899999999999977,2.5699999999999363,5.973750000000109,42.372499999999945
11.5,3.4837500000001,0.4375,-0.1800000000000636,7.1875,5.4525000000001,7.113749999999982,0.3149999999999977,6.069999999999936,10.97375000000011,59.747499999999945
11.6,4.7337500000001,0.4375,-0.1800000000000636,11.9375,8.5775000000001,10.613749999999982,0.4399999999999977,11.069999999999936,18.09875000000011,80.87249999999995
11.7,6.4837500000001,0.5625,-0.1800000000000636,18.1875,12.2025000000001,14.738749999999982,0.6899999999999977,18.069999999999936,27.34875000000011,106.12249999999996
11.8,8.3587500000001,0.5625,-0.1800000000000636,25.8125,16.4525000000001,19.238749999999985,0.8149999999999977,27.069999999999936,38.59875000000011,135.74749999999997
11.9,10.4837500000001,0.5625,-0.1800000000000636,35.3125,21.4525000000001,24.238749999999985,0.9399999999999976,38.819999999999936,52.09875000000011,170.74749999999997
12.0,13.1087500000001,0.6875,-0.1800000000000636,46.6875,27.0775000000001,29.613749999999985,1.0649999999999975,53.319999999999936,67.47375000000011,210.62249999999997
12.1,15.8587500000001,0.8125,-0.0550000000000636,59.9375,33.0775000000001,35.36374999999998,1.1899999999999975,70.31999999999994,84.59875000000011,254.87249999999997
12.2,18.9837500000001,0.8125,-0.1800000000000636,75.4375,39.8275000000001,41.48874999999998,1.3149999999999975,90.56999999999994,103.47375000000012,304.87249999999995
12.3,22.3587500000001,0.9375,-0.1800000000000636,92.9375,46.9525000000001,47.98874999999998,1.5649999999999975,113.81999999999994,123.97375000000012,360.6225
12.4,26.1087500000001,1.1875,-0.0550000000000636,112.3125,54.5775000000001,54.61374999999998,1.6899999999999975,140.06999999999994,145.9737500000001,420.9975
12.5,30.1087500000001,1.3125,-0.0550000000000636,134.0625,62.7025000000001,61.73874999999998,1.9399999999999975,169.81999999999994,169.4737500000001,485.3725
12.6,34.4837500000001,1.5625,-0.0550000000000636,157.8125,71.3275000000001,68.98874999999998,2.1899999999999977,203.06999999999996,194.4737500000001,551.8725
12.7,39.1087500000001,1.6875,-0.0550000000000636,183.4375,80.2025000000001,76.48874999999998,2.3149999999999977,239.56999999999996,220.3487500000001,618.4975
12.8,44.1087500000001,1.9375,-0.0550000000000636,211.3125,89.4525000000001,84.23874999999998,2.5649999999999977,279.69499999999994,247.5987500000001,686.1225
12.9,49.3587500000001,2.1875,-0.0550000000000636,241.0625,99.2025000000001,92.23874999999998,2.8149999999999977,323.31999999999994,275.5987500000001,753.7475
13.0,54.8587500000001,2.4375,-0.0550000000000636,272.0625,109.2025000000001,100.36374999999998,2.8149999999999977,369.57,303.8487500000001,819.9975
13.1,60.7337500000001,2.6875,-0.0550000000000636,305.0625,119.5775000000001,108.61374999999998,3.1899999999999977,419.57,332.7237500000001,885.1225
13.2,66.7337500000001,3.0625,-0.0550000000000636,339.0625,130.0775000000001,116.98874999999998,3.0649999999999977,471.945,361.5987500000001,947.2475
13.3,73.2337500000001,3.4375,0.0699999999999363,374.6875,140.8275000000001,125.36374999999998,3.3149999999999977,527.4449999999999,390.9737500000001,1007.4975
13.4,79.7337500000001,3.6875,-0.0550000000000636,411.3125,151.8275000000001,133.86374999999998,3.6899999999999977,585.0699999999999,420.4737500000001,1065.2475
13.5,86.6087500000001,3.9375,0.0699999999999363,448.3125,162.9525000000001,142.23874999999998,3.6899999999999977,644.0699999999999,449.4737500000001,1119.9975
13.6,93.7337500000001,4.3125,0.0699999999999363,486.4375,174.2025000000001,150.73874999999998,3.8149999999999977,705.1949999999999,478.5987500000001,1172.8725
13.7,101.1087500000001,4.6875,0.0699999999999363,524.8125,185.5775000000001,159.11374999999998,4.064999999999998,767.5699999999999,507.7237500000001,1222.9975
13.8,108.6087500000001,5.0625,0.0699999999999363,562.8125,196.9525000000001,167.48874999999998,4.189999999999998,829.9449999999999,536.0987500000001,1269.8725
13.9,116.3587500000001,5.5625,0.0699999999999363,601.3125,208.4525000000001,175.86374999999998,4.439999999999998,893.4449999999999,564.4737500000001,1314.4975
14.0,124.3587500000001,5.9375,0.0699999999999363,639.4375,220.0775000000001,184.11375,4.689999999999998,957.195,592.3487500000001,1356.4975
14.1,132.4837500000001,6.3125,0.0699999999999363,676.6875,231.5775000000001,192.23875,4.689999999999998,1019.695,619.5987500000001,1394.9975
14.2,140.8587500000001,6.6875,0.1949999999999363,713.6875,243.2025000000001,200.23875,4.939999999999998,1082.195,646.4737500000001,1430.8725
14.3,149.4837500000001,7.1875,0.1949999999999363,749.9375,254.8275000000001,207.48875,4.939999999999998,1143.57,672.8487500000001,1464.4975
14.4,158.1087500000001,7.5625,0.1949999999999363,784.6875,266.0775000000001,214.23875,4.814999999999998,1203.07,698.3487500000001,1495.7475
14.5,166.9837500000001,8.0625,0.1949999999999363,818.9375,277.4525000000001,221.11375,4.689999999999998,1261.695,723.4737500000001,1525.4975
14.6,175.9837500000001,8.5625,0.1949999999999363,851.9375,288.8275000000001,228.23875,4.939999999999998,1318.445,747.8487500000001,1553.3725
14.7,185.1087500000001,9.0625,0.3199999999999363,883.4375,299.8275000000001,235.61375,4.939999999999998,1372.695,771.4737500000001,1579.1225
14.8,194.3587500000001,9.4375,0.1949999999999363,913.9375,310.9525000000001,242.86375,5.189999999999998,1425.445,794.7237500000001,1603.4975
14.9,203.8587500000001,9.9375,0.1949999999999363,943.1875,321.8275000000001,249.86375,5.189999999999998,1476.07,817.2237500000001,1626.3725
15.0,213.3587500000001,10.4375,0.3199999999999363,970.9375,332.3275000000001,256.73875,5.439999999999998,1523.82,838.8487500000001,1647.4975
15.1,222.9837500000001,10.9375,0.3199999999999363,997.5625,342.8275000000001,263.61375,5.439999999999998,1569.82,860.0987500000001,1667.4975
15.2,232.7337500000001,11.4375,0.3199999999999363,1022.9375,353.0775000000001,270.11375,5.564999999999998,1613.57,880.5987500000001,1686.4975
15.3,242.4837500000001,11.9375,0.3199999999999363,1046.8125,363.0775000000001,276.48875,5.814999999999998,1654.445,900.3487500000001,1704.2475
15.4,252.3587500000001,12.4375,0.3199999999999363,1069.6875,372.8275000000001,282.61375,5.814999999999998,1693.445,919.72375,1720.9975
15.5,262.3587500000001,13.0625,0.4449999999999363,1091.4375,382.4525000000001,288.61375,6.064999999999998,1730.32,938.34875,1736.9975
