time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,1.8324999999999816,0.3724999999999454,0.0787499999998999,11.493750000000093,-0.8025000000000091,-2.0037499999998545,0.0237500000000068,11.410000000000082,5.212500000000091,7.852499999999964
10.1,1.8324999999999816,0.3724999999999454,-0.0462500000001,11.368750000000093,-0.9275000000000092,-2.1287499999998545,-0.1012499999999931,11.410000000000082,5.337500000000091,7.977499999999964
10.2,1.9574999999999816,0.4974999999999454,-0.1712500000001,11.493750000000093,-1.052500000000009,-2.2537499999998545,-0.1012499999999931,11.410000000000082,5.587500000000091,8.227499999999964
10.3,1.9574999999999816,0.4974999999999454,-0.1712500000001,11.368750000000093,-1.177500000000009,-2.3787499999998545,0.0237500000000068,11.410000000000082,5.837500000000091,8.352499999999964
10.4,1.9574999999999816,0.4974999999999454,-0.2962500000001,11.368750000000093,-1.302500000000009,-2.3787499999998545,0.0237500000000068,11.535000000000082,6.087500000000091,8.602499999999964
10.5,1.9574999999999816,0.4974999999999454,-0.4212500000001,11.368750000000093,-1.302500000000009,-2.5037499999998545,-0.1012499999999931,11.535000000000082,6.337500000000091,8.977499999999964
10.6,2.082499999999982,0.6224999999999454,-0.4212500000001,11.368750000000093,-1.302500000000009,-2.5037499999998545,-0.2262499999999931,11.410000000000082,6.337500000000091,9.602499999999964
10.7,2.082499999999982,0.6224999999999454,-0.5462500000001,11.368750000000093,-1.302500000000009,-2.5037499999998545,-0.1012499999999931,11.535000000000082,6.712500000000091,10.477499999999964
10.8,2.332499999999982,0.4974999999999454,-0.5462500000001,11.368750000000093,-1.302500000000009,-2.3787499999998545,-0.1012499999999931,11.535000000000082,6.962500000000091,12.477499999999964
10.9,2.457499999999982,0.6224999999999454,-0.5462500000001,11.743750000000093,-0.9275000000000092,-2.1287499999998545,-0.2262499999999931,11.660000000000082,7.212500000000091,15.727499999999964
11.0,2.832499999999982,0.6224999999999454,-0.6712500000001,12.493750000000093,-0.1775000000000091,-1.6287499999998545,-0.1012499999999931,11.910000000000082,7.587500000000091,20.977499999999964
11.1,3.332499999999982,0.6224999999999454,-0.6712500000001,13.618750000000093,1.072499999999991,-0.7537499999998545,-0.1012499999999931,12.285000000000082,8.462500000000091,29.102499999999964
11.2,3.957499999999982,0.7474999999999454,-0.6712500000001,15.618750000000093,3.197499999999991,0.7462500000001455,-0.1012499999999931,13.285000000000082,9.837500000000093,40.10249999999997
11.3,4.832499999999982,0.7474999999999454,-0.7962500000001,18.74375000000009,6.197499999999991,3.121250000000145,0.2737500000000068,15.035000000000082,12.337500000000093,54.72749999999997
11.4,6.082499999999982,0.7474999999999454,-0.6712500000001,23.61875000000009,9.822499999999993,6.4962500000001455,0.2737500000000068,18.03500000000008,16.46250000000009,72.97749999999996
11.5,7.582499999999982,0.8724999999999454,-0.7962500000001,30.36875000000009,14.447499999999993,10.746250000000146,0.2737500000000068,22.91000000000008,22.58750000000009,95.72749999999996
11.6,9.457499999999982,0.9974999999999454,-0.7962500000001,39.61875000000009,19.82249999999999,15.871250000000146,0.5237500000000068,30.16000000000008,30.96250000000009,123.97749999999996
11.7,11.707499999999982,1.1224999999999454,-0.7962500000001,51.74375000000009,26.07249999999999,21.996250000000146,0.7737500000000068,40.53500000000008,42.21250000000009,157.85249999999996
11.8,14.332499999999982,1.2474999999999454,-0.7962500000001,66.61875000000009,33.07249999999999,28.871250000000146,0.8987500000000068,54.16000000000008,56.08750000000009,197.2275
11.9,17.457499999999982,1.4974999999999454,-0.7962500000001,84.86875000000009,41.07249999999999,36.49625000000015,1.0237500000000068,72.28500000000008,73.08750000000009,242.9775
