time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,-0.21875,0.0575000000000045,-0.1175000000000636,-0.4949999999998908,-0.0187499999999545,0.0050000000001091,-0.0262500000000045,-0.4812500000000455,-0.5387499999999363,-1.0325000000000273
10.1,-0.34375,-0.0674999999999954,-0.1175000000000636,-0.4949999999998908,-0.1437499999999545,-0.1199999999998908,-0.0262500000000045,-0.4812500000000455,-0.5387499999999363,-0.9075000000000272
10.2,-0.34375,-0.0674999999999954,-0.1175000000000636,-0.6199999999998909,-0.0187499999999545,-0.1199999999998908,0.0987499999999954,-0.6062500000000455,-0.5387499999999363,-0.9075000000000272
10.3,-0.34375,-0.0674999999999954,-0.2425000000000636,-0.6199999999998909,-0.1437499999999545,-0.1199999999998908,0.2237499999999954,-0.6062500000000455,-0.4137499999999363,-0.9075000000000272
10.4,-0.34375,-0.0674999999999954,-0.2425000000000636,-0.7449999999998909,-0.1437499999999545,-0.2449999999998908,-0.0262500000000045,-0.6062500000000455,-0.5387499999999363,-0.7825000000000273
10.5,-0.34375,-0.0674999999999954,-0.2425000000000636,-0.7449999999998909,-0.1437499999999545,-0.1199999999998908,-0.0262500000000045,-0.6062500000000455,-0.4137499999999363,-0.6575000000000273
10.6,-0.34375,-0.0674999999999954,-0.3675000000000636,-0.7449999999998909,-0.1437499999999545,-0.2449999999998908,-0.0262500000000045,-0.7312500000000455,-0.2887499999999363,-0.2825000000000273
10.7,-0.34375,-0.0674999999999954,-0.3675000000000636,-0.7449999999998909,-0.0187499999999545,-0.1199999999998908,-0.0262500000000045,-0.7312500000000455,-0.2887499999999363,0.4674999999999727
10.8,-0.21875,-0.0674999999999954,-0.3675000000000636,-0.7449999999998909,0.1062500000000454,0.0050000000001091,0.0987499999999954,-0.7312500000000455,-0.1637499999999363,1.9674999999999727
10.9,-0.21875,-0.0674999999999954,-0.4925000000000636,-0.4949999999998908,0.4812500000000455,0.1300000000001091,0.0987499999999954,-0.6062500000000455,-0.0387499999999363,4.717499999999973
11.0,0.15625,-0.1924999999999954,-0.4925000000000636,0.0050000000001091,0.8562500000000455,0.5050000000001091,-0.0262500000000045,-0.3562500000000455,0.4612500000000636,8.717499999999973
11.1,0.53125,-0.1924999999999954,-0.4925000000000636,0.8800000000001091,1.8562500000000453,1.2550000000001091,0.2237499999999954,0.1437499999999545,1.3362500000000637,14.467499999999973
11.2,1.15625,-0.0674999999999954,-0.4925000000000636,2.380000000000109,3.356250000000045,2.380000000000109,0.0987499999999954,1.0187499999999543,2.961250000000064,22.217499999999973
11.3,2.03125,-0.0674999999999954,-0.4925000000000636,4.755000000000109,5.7312500000000455,4.130000000000109,0.2237499999999954,2.8937499999999545,5.586250000000064,32.59249999999997
11.4,3.28125,-0.0674999999999954,-0.4925000000000636,8.38000000000011,9.106250000000044,6.505000000000109,0.2237499999999954,6.0187499999999545,9.586250000000064,46.21749999999997
11.5,4.78125,0.0575000000000045,-0.4925000000000636,13.63000000000011,13.606250000000044,9.63000000000011,0.5987499999999955,10.768749999999956,15.461250000000064,64.21749999999997
11.6,6.78125,0.0575000000000045,-0.4925000000000636,20.50500000000011,18.856250000000045,13.50500000000011,0.5987499999999955,17.768749999999955,23.211250000000064,86.71749999999997
11.7,9.03125,0.0575000000000045,-0.4925000000000636,29.63000000000011,24.731250000000045,18.13000000000011,0.8487499999999955,27.643749999999955,33.586250000000064,114.46749999999996
11.8,11.78125,0.1825000000000045,-0.4925000000000636,40.88000000000011,31.231250000000045,23.38000000000011,1.0987499999999957,40.14374999999996,46.586250000000064,147.21749999999997
11.9,14.90625,0.3075000000000045,-0.6175000000000637,54.75500000000011,38.356250000000045,29.38000000000011,1.0987499999999957,56.14374999999996,62.836250000000064,186.2175
12.0,18.40625,0.5575000000000045,-0.4925000000000636,71.38000000000011,46.231250000000045,35.75500000000011,1.4737499999999957,75.76874999999995,82.21125000000006,231.3425
12.1,22.40625,0.6825000000000045,-0.4925000000000636,90.25500000000012,54.731250000000045,42.75500000000011,1.4737499999999957,98.89374999999995,104.08625000000006,282.4675
12.2,26.90625,0.9325000000000044,-0.6175000000000637,112.13000000000012,64.10625000000005,50.13000000000011,1.8487499999999957,126.39374999999995,128.71125000000006,340.7175
12.3,31.65625,1.0575000000000043,-0.6175000000000637,136.6300000000001,73.85625000000005,57.88000000000011,1.9737499999999957,158.26874999999995,155.46125000000006,404.8425
12.4,36.90625,1.4325000000000043,-0.4925000000000636,163.5050000000001,84.23125000000005,66.00500000000011,2.2237499999999955,194.26874999999995,183.7112500000001,472.8425
12.5,42.65625,1.6825000000000043,-0.4925000000000636,193.2550000000001,95.10625000000005,74.63000000000011,2.4737499999999955,235.01874999999995,213.8362500000001,545.5925
12.6,48.65625,1.9325000000000043,-0.4925000000000636,225.7550000000001,106.35625000000005,83.50500000000011,2.7237499999999955,280.39374999999995,245.8362500000001,621.0925
12.7,55.03125,2.3075000000000045,-0.4925000000000636,260.2550000000001,117.98125000000005,92.50500000000012,2.9737499999999955,329.51874999999995,278.58625000000006,698.0925
12.8,61.90625,2.6825000000000045,-0.4925000000000636,297.6300000000001,130.10625000000005,102.00500000000012,3.0987499999999955,383.51875,312.96125000000006,776.4675
12.9,69.15625,3.0575000000000045,-0.4925000000000636,337.1300000000001,142.73125000000005,111.63000000000012,3.4737499999999955,441.51875,348.33625000000006,854.3425
13.0,76.78125,3.4325000000000045,-0.4925000000000636,378.1300000000001,155.48125000000005,121.38000000000012,3.723749999999996,502.76875,383.96125000000006,930.2175
13.1,84.65625,3.932500000000005,-0.4925000000000636,421.2550000000001,168.85625000000005,131.2550000000001,3.848749999999996,568.14375,420.33625000000006,1004.0925
13.2,93.03125,4.3075000000000045,-0.4925000000000636,465.6300000000001,182.35625000000005,141.3800000000001,4.098749999999996,636.64375,456.96125000000006,1074.5925
13.3,101.65625,4.8075000000000045,-0.4925000000000636,510.5050000000001,195.98125000000005,151.2550000000001,4.348749999999996,707.26875,493.08625000000006,1141.0925
13.4,110.65625,5.3075000000000045,-0.4925000000000636,556.5050000000001,210.10625000000005,161.5050000000001,4.598749999999996,781.01875,529.4612500000001,1204.5925
13.5,119.90625,5.8075000000000045,-0.4925000000000636,602.7550000000001,224.48125000000005,171.7550000000001,4.973749999999996,856.51875,565.4612500000001,1264.8425
13.6,129.53125,6.3075000000000045,-0.4925000000000636,648.5050000000001,238.85625000000005,181.8800000000001,4.973749999999996,932.39375,600.8362500000001,1321.2175
13.7,139.40625,6.8075000000000045,-0.4925000000000636,694.3800000000001,253.48125000000005,192.0050000000001,5.098749999999996,1009.64375,636.0862500000001,1374.3425
13.8,149.65625,7.307500000000003,-0.3675000000000636,739.5050000000001,268.23125000000005,202.2550000000001,5.223749999999996,1086.89375,670.7112500000001,1423.7175
13.9,160.03125,7.807500000000003,-0.3675000000000636,783.2550000000001,282.85625000000005,212.2550000000001,5.473749999999996,1162.64375,704.4612500000001,1469.2175
14.0,170.78125,8.432500000000005,-0.3675000000000636,826.3800000000001,297.60625000000005,222.2550000000001,5.723749999999996,1238.14375,737.8362500000001,1512.0925
14.1,181.78125,9.057500000000005,-0.3675000000000636,868.0050000000001,312.35625000000005,232.2550000000001,6.098749999999996,1311.89375,770.4612500000001,1551.5925
14.2,192.90625,9.682500000000005,-0.3675000000000636,907.755,326.85625000000005,241.8800000000001,6.098749999999996,1382.64375,801.8362500000001,1587.8425
14.3,204.28125,10.307500000000005,-0.3675000000000636,946.13,341.60625000000005,251.6300000000001,6.223749999999996,1451.51875,832.7112500000001,1621.9675
14.4,216.03125,10.807500000000005,-0.2425000000000636,983.13,356.10625000000005,261.0050000000001,6.473749999999996,1517.51875,862.7112500000001,1653.5925
14.5,227.65625,11.432500000000005,-0.2425000000000636,1017.755,370.3562500000001,270.2550000000001,6.723749999999996,1579.64375,891.4612500000001,1682.9675
14.6,239.65625,12.057500000000005,-0.2425000000000636,1051.13,384.4812500000001,279.3800000000001,6.723749999999996,1639.14375,919.58625,1710.9675
14.7,251.90625,12.682500000000005,-0.2425000000000636,1082.755,398.4812500000001,288.2550000000001,6.848749999999996,1695.39375,946.96125,1737.0925
14.8,264.15625,13.432500000000005,-0.2425000000000636,1112.38,412.1062500000001,296.8800000000001,6.973749999999996,1747.64375,973.08625,1761.3425
14.9,276.53125,14.057500000000005,-0.2425000000000636,1140.63,425.7312500000001,305.2550000000001,7.4737499999999955,1797.01875,998.46125,1784.3425
15.0,289.15625,14.682500000000005,-0.2425000000000636,1167.005,438.9812500000001,313.5050000000001,7.5987499999999955,1842.89375,1022.83625,1805.8425
15.1,301.90625,15.432500000000005,-0.1175000000000636,1192.005,451.9812500000001,321.5050000000001,7.4737499999999955,1885.89375,1046.58625,1826.0925
15.2,314.65625,16.182500000000005,-0.1175000000000636,1215.63,464.8562500000001,329.2550000000001,7.5987499999999955,1926.14375,1069.33625,1845.2175
15.3,327.53125,16.932500000000005,-0.1175000000000636,1237.505,477.2312500000001,336.7550000000001,7.8487499999999955,1963.01875,1091.08625,1862.9675
