time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,0.943749999999909,0.1737500000000409,0.03125,2.5012500000000277,-1.6012499999999363,-0.8237500000000182,0.0500000000000113,1.4812500000000457,-0.3412499999999454,-1.6737499999999272
10.1,0.943749999999909,0.0487500000000409,-0.09375,2.3762500000000277,-1.7262499999999363,-0.9487500000000182,-0.0749999999999886,1.3562500000000457,-1.0912499999999454,-2.4237499999999272
10.2,0.943749999999909,0.0487500000000409,-0.21875,2.2512500000000277,-1.7262499999999363,-0.9487500000000182,-0.1999999999999886,1.2312500000000457,-1.2162499999999454,-2.7987499999999272
10.3,0.943749999999909,0.0487500000000409,-0.21875,2.2512500000000277,-1.7262499999999363,-0.9487500000000182,-0.0749999999999886,1.2312500000000457,-1.3412499999999454,-3.0487499999999272
10.4,0.943749999999909,0.0487500000000409,-0.21875,2.1262500000000277,-1.7262499999999363,-1.0737500000000182,-0.0749999999999886,1.2312500000000457,-1.2162499999999454,-2.9237499999999272
10.5,0.943749999999909,0.0487500000000409,-0.34375,2.0012500000000277,-1.8512499999999363,-1.1987500000000182,-0.0749999999999886,1.1062500000000457,-1.2162499999999454,-2.9237499999999272
10.6,0.943749999999909,0.0487500000000409,-0.34375,1.8762500000000275,-1.8512499999999363,-1.1987500000000182,0.0500000000000113,1.1062500000000457,-1.0912499999999454,-2.6737499999999272
10.7,0.943749999999909,0.0487500000000409,-0.46875,1.8762500000000275,-1.8512499999999363,-1.0737500000000182,-0.1999999999999886,0.9812500000000456,-1.0912499999999454,-1.7987499999999272
10.8,1.068749999999909,0.0487500000000409,-0.46875,1.8762500000000275,-1.7262499999999363,-1.0737500000000182,-0.0749999999999886,0.9812500000000456,-0.9662499999999454,0.4512500000000727
10.9,1.193749999999909,0.0487500000000409,-0.46875,1.8762500000000275,-1.4762499999999363,-0.8237500000000182,0.0500000000000113,0.9812500000000456,-0.7162499999999454,5.701250000000073
11.0,1.693749999999909,0.0487500000000409,-0.59375,2.3762500000000277,-0.8512499999999363,-0.1987500000000182,0.1750000000000113,1.1062500000000457,-0.3412499999999454,15.701250000000073
11.1,2.318749999999909,0.0487500000000409,-0.59375,3.7512500000000273,0.3987500000000636,1.0512499999999818,0.3000000000000113,1.7312500000000457,0.5337500000000546,31.826250000000076
11.2,3.443749999999909,0.0487500000000409,-0.59375,6.501250000000027,2.773750000000064,3.676249999999982,0.4250000000000113,2.981250000000045,2.9087500000000546,55.32625000000007
11.3,5.068749999999909,0.0487500000000409,-0.59375,11.501250000000027,6.523750000000064,7.676249999999982,0.5500000000000114,5.7312500000000455,7.658750000000055,87.32625000000007
11.4,7.443749999999909,0.1737500000000409,-0.59375,19.876250000000027,12.273750000000064,13.551249999999982,0.9250000000000114,10.981250000000044,16.533750000000055,130.57625000000007
11.5,10.693749999999907,0.2987500000000409,-0.59375,31.876250000000027,19.523750000000064,21.301249999999985,1.0500000000000114,20.356250000000045,31.15875000000005,186.57625000000007
11.6,14.818749999999907,0.4237500000000409,-0.71875,48.50125000000003,28.523750000000064,30.551249999999985,1.4250000000000114,35.356250000000045,52.533750000000055,256.0762500000001
11.7,20.06874999999991,0.6737500000000409,-0.59375,70.87625000000003,39.148750000000064,41.42624999999998,1.6750000000000114,57.981250000000045,82.15875000000005,340.5762500000001
11.8,26.44374999999991,0.9237500000000408,-0.59375,99.37625000000004,51.648750000000064,53.67624999999998,2.050000000000012,89.48125000000005,119.65875000000004,438.7012500000001
11.9,33.81874999999991,1.423750000000041,-0.59375,133.87625000000003,65.77375000000006,67.42624999999998,2.675000000000012,130.35625000000005,164.15875000000003,548.5762500000001
12.0,42.31874999999991,1.798750000000041,-0.59375,175.50125000000003,82.02375000000006,82.80124999999998,2.925000000000012,182.60625000000005,215.15875000000003,671.4512500000001
12.1,52.06874999999991,2.423750000000041,-0.59375,223.75125000000003,99.89875000000006,99.42624999999998,3.175000000000012,246.60625000000005,271.40875000000005,802.2012500000001
12.2,62.81874999999991,3.048750000000041,-0.59375,278.12625,119.39875000000006,117.05124999999998,3.8000000000000114,322.35625000000005,330.90875000000005,934.32625
12.3,74.81874999999991,3.673750000000041,-0.59375,339.75125,140.77375000000006,136.17624999999998,4.175000000000011,411.2312500000001,394.15875000000005,1064.32625
12.4,87.94374999999991,4.423750000000041,-0.59375,407.25125,164.02375000000006,156.05124999999998,4.550000000000011,512.23125,460.03375000000005,1186.32625
12.5,101.94374999999992,5.298750000000041,-0.46875,479.00125,188.6487500000001,176.55124999999998,5.050000000000011,622.85625,526.53375,1297.07625
12.6,117.19374999999992,6.048750000000041,-0.46875,555.50125,214.8987500000001,197.80125,5.425000000000011,743.60625,594.15875,1399.32625
12.7,133.4437499999999,6.923750000000041,-0.46875,634.62625,242.7737500000001,219.67625,5.925000000000011,871.35625,661.15875,1492.20125
12.8,150.4437499999999,7.923750000000041,-0.46875,713.87625,271.64875000000006,241.67625,6.300000000000011,1002.35625,726.40875,1575.57625
12.9,168.5687499999999,8.923750000000041,-0.46875,793.62625,302.14875000000006,264.17625,6.800000000000011,1136.85625,790.40875,1651.20125
13.0,187.5687499999999,9.92375000000004,-0.46875,871.50125,333.89875000000006,286.55125,7.175000000000011,1270.48125,852.28375,1718.82625
13.1,207.1937499999999,11.04875000000004,-0.46875,945.62625,366.27375000000006,308.80125,7.550000000000011,1398.98125,911.28375,1778.70125
