time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,2.3912499999999,0.5687500000000227,0.3662500000000364,7.654999999999973,-0.7362499999999272,-0.7775000000001455,-0.0375000000000227,7.25,3.9974999999999454,2.426249999999982
10.1,2.5162499999999,0.5687500000000227,0.4912500000000364,7.654999999999973,-0.7362499999999272,-1.6525000000001455,-0.0375000000000227,7.375,3.9974999999999454,2.301249999999982
10.2,2.3912499999999,0.4437500000000227,0.3662500000000364,7.654999999999973,-0.8612499999999272,-2.902500000000145,-0.0375000000000227,7.375,3.9974999999999454,2.301249999999982
10.3,2.2662499999999,0.4437500000000227,0.4912500000000364,7.779999999999973,-0.9862499999999272,-4.1525000000001455,-0.4125000000000227,7.375,3.9974999999999454,2.301249999999982
10.4,2.3912499999999,0.4437500000000227,0.4912500000000364,7.779999999999973,-0.9862499999999272,-5.2775000000001455,-0.7875000000000227,7.375,3.9974999999999454,2.426249999999982
10.5,2.2662499999999,0.4437500000000227,0.3662500000000364,7.904999999999973,-1.1112499999999272,-6.6525000000001455,-1.0375000000000227,7.5,3.8724999999999454,3.176249999999982
10.6,2.3912499999999,0.4437500000000227,0.4912500000000364,7.904999999999973,-1.1112499999999272,-7.7775000000001455,-1.2875000000000227,7.5,3.8724999999999454,5.551249999999982
10.7,2.5162499999999,0.3187500000000227,0.4912500000000364,7.904999999999973,-0.8612499999999272,-8.777500000000146,-1.6625000000000227,7.625,3.9974999999999454,11.051249999999982
10.8,2.8912499999999,0.3187500000000227,0.4912500000000364,8.279999999999973,-0.1112499999999272,-9.527500000000146,-1.6625000000000227,7.875,4.372499999999945,20.801249999999985
10.9,3.5162499999999,0.3187500000000227,0.4912500000000364,9.029999999999973,1.3887500000000728,-9.527500000000146,-1.7875000000000227,8.5,5.622499999999945,35.67624999999998
11.0,4.5162499999999,0.3187500000000227,0.4912500000000364,10.779999999999973,4.013750000000073,-8.652500000000146,-1.7875000000000227,10.25,8.247499999999945,56.67624999999998
11.1,6.3912499999999,0.4437500000000227,0.4912500000000364,14.279999999999973,7.763750000000073,-6.4025000000001455,-1.7875000000000227,14.125,13.122499999999944,86.80124999999998
11.2,8.6412499999999,0.4437500000000227,0.4912500000000364,20.529999999999973,13.388750000000073,-2.902500000000145,-1.7875000000000227,21.75,21.497499999999945,127.67624999999998
11.3,11.8912499999999,0.6937500000000227,0.4912500000000364,30.029999999999973,20.888750000000076,2.0974999999998545,-2.0375000000000227,34.375,34.622499999999945,179.92624999999998
11.4,15.8912499999999,0.8187500000000227,0.4912500000000364,44.02999999999997,30.763750000000076,8.597499999999854,-1.9125000000000227,53.625,53.747499999999945,246.30125
11.5,21.0162499999999,1.1937500000000227,0.4912500000000364,63.40499999999997,42.51375000000007,16.972499999999854,-1.7875000000000227,81.25,79.62249999999995,327.42625
11.6,26.8912499999999,1.5687500000000227,0.4912500000000364,88.15499999999997,56.01375000000007,26.84749999999985,-1.5375000000000227,117.875,112.24749999999996,422.92625
11.7,33.8912499999999,1.9437500000000227,0.4912500000000364,119.65499999999996,71.38875000000007,38.347499999999854,-1.4125000000000227,165.125,152.24749999999997,535.05125
11.8,42.0162499999999,2.4437500000000227,0.6162500000000364,157.90499999999997,88.63875000000007,51.347499999999854,-1.0375000000000227,223.375,198.99749999999997,658.92625
11.9,50.8912499999999,2.9437500000000227,0.6162500000000364,202.405,107.26375000000009,65.59749999999985,-0.9125000000000228,292.25,251.12249999999997,787.80125
12.0,61.0162499999999,3.5687500000000227,0.6162500000000364,253.905,127.88875000000009,81.47249999999985,-0.5375000000000227,372.875,308.62249999999995,918.42625
12.1,72.0162499999999,4.318750000000023,0.6162500000000364,311.905,150.01375000000007,98.59749999999984,-0.5375000000000227,464.5,369.9975,1045.67625
12.2,84.0162499999999,5.068750000000023,0.6162500000000364,374.655,173.63875000000007,116.47249999999984,-0.1625000000000227,565.125,433.2475,1165.17625
12.3,97.0162499999999,5.818750000000023,0.6162500000000364,442.78,199.13875000000007,135.47249999999983,-0.0375000000000227,675.875,498.6225,1277.42625
12.4,111.0162499999999,6.693750000000023,0.6162500000000364,514.53,226.38875000000007,155.09749999999983,0.3374999999999772,793.625,564.4975,1379.80125
12.5,125.7662499999999,7.568750000000023,0.6162500000000364,587.905,254.76375000000007,174.97249999999983,0.5874999999999773,915.5,629.1225,1471.80125
12.6,141.3912499999999,8.568750000000023,0.6162500000000364,663.03,284.5137500000001,195.59749999999983,0.8374999999999773,1041.5,693.2475,1554.92625
