time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
10.0,5.196249999999964,1.2212500000000546,0.3550000000000182,-0.3737499999999727,-8.001250000000027,-5.731249999999818,-0.0424999999999897,1.4425000000001091,-3.992499999999836,-14.506249999999907
10.1,5.321249999999964,1.0962500000000546,0.2300000000000182,-0.7487499999999727,-8.126250000000027,-5.856249999999818,-0.0424999999999897,1.1925000000001091,-4.867499999999836,-15.756249999999907
10.2,5.321249999999964,1.0962500000000546,0.2300000000000182,-1.1237499999999727,-8.251250000000027,-6.106249999999818,-0.1674999999999897,0.9425000000001093,-5.242499999999836,-16.50624999999991
10.3,5.321249999999964,1.0962500000000546,0.2300000000000182,-1.4987499999999727,-8.376250000000027,-6.106249999999818,0.0825000000000102,0.6925000000001091,-5.492499999999836,-17.00624999999991
10.4,5.321249999999964,1.2212500000000546,0.1050000000000181,-1.8737499999999727,-8.501250000000027,-6.356249999999818,-0.1674999999999897,0.4425000000001091,-5.617499999999836,-17.38124999999991
10.5,5.321249999999964,1.2212500000000546,0.1050000000000181,-2.2487499999999727,-8.626250000000027,-6.356249999999818,-0.1674999999999897,0.1925000000001091,-5.742499999999836,-17.50624999999991
10.6,5.321249999999964,1.2212500000000546,0.1050000000000181,-2.6237499999999727,-8.751250000000027,-6.481249999999818,-0.0424999999999897,-0.0574999999998908,-5.992499999999836,-17.25624999999991
10.7,5.446249999999964,1.0962500000000546,0.1050000000000181,-2.9987499999999727,-8.751250000000027,-6.481249999999818,-0.0424999999999897,-0.3074999999998908,-6.117499999999836,-16.00624999999991
10.8,5.571249999999964,1.2212500000000546,0.1050000000000181,-3.2487499999999727,-8.751250000000027,-6.356249999999818,-0.0424999999999897,-0.5574999999998909,-6.117499999999836,-12.631249999999907
10.9,5.821249999999964,1.2212500000000546,-0.0199999999999818,-3.3737499999999727,-8.376250000000027,-5.981249999999818,0.0825000000000102,-0.6824999999998909,-5.992499999999836,-6.256249999999909
11.0,6.321249999999964,1.2212500000000546,0.1050000000000181,-2.8737499999999727,-7.501250000000027,-5.106249999999818,0.0825000000000102,-0.5574999999998909,-5.492499999999836,4.868750000000091
11.1,7.071249999999964,1.3462500000000546,0.1050000000000181,-1.8737499999999727,-5.876250000000027,-3.856249999999818,0.2075000000000102,0.3175000000001091,-4.117499999999836,21.74375000000009
11.2,8.196249999999964,1.3462500000000546,-0.0199999999999818,0.5012500000000273,-3.2512500000000277,-1.481249999999818,0.4575000000000102,2.692500000000109,-0.9924999999998364,46.11875000000009
11.3,9.821249999999964,1.3462500000000546,-0.0199999999999818,4.751250000000027,0.3737499999999727,1.893750000000182,0.5825000000000102,7.317500000000109,4.757500000000164,78.86875000000009
11.4,11.946249999999964,1.4712500000000546,-0.0199999999999818,11.376250000000027,5.123749999999973,6.518750000000182,0.8325000000000102,15.31750000000011,13.882500000000164,121.11875000000008
11.5,14.821249999999964,1.5962500000000546,-0.0199999999999818,21.126250000000027,11.498749999999973,12.518750000000182,0.7075000000000102,27.44250000000011,27.882500000000164,175.3687500000001
11.6,18.321249999999964,1.7212500000000546,-0.0199999999999818,34.87625000000003,19.123749999999973,19.893750000000185,1.2075000000000102,44.81750000000011,46.75750000000016,242.2437500000001
11.7,22.571249999999964,1.9712500000000543,-0.0199999999999818,52.87625000000003,27.998749999999973,28.268750000000185,1.3325000000000102,68.44250000000011,70.38250000000016,318.9937500000001
11.8,27.696249999999964,2.2212500000000546,-0.0199999999999818,75.87625000000003,38.12374999999997,37.76875000000018,1.4575000000000102,99.06750000000012,99.00750000000016,405.2437500000001
11.9,33.571249999999964,2.5962500000000546,-0.0199999999999818,104.25125000000004,49.74874999999997,48.39375000000018,1.9575000000000105,137.4425000000001,131.88250000000016,499.2437500000001
12.0,40.19624999999997,2.9712500000000546,-0.0199999999999818,137.50125000000003,62.37374999999997,59.64375000000018,2.3325000000000102,183.1925000000001,168.25750000000016,598.1187500000001
12.1,47.69624999999997,3.2212500000000546,-0.0199999999999818,176.37625000000003,76.62374999999997,72.26875000000018,2.5825000000000102,237.6925000000001,208.38250000000016,700.8687500000001
12.2,55.94624999999997,3.846250000000055,-0.0199999999999818,220.37625000000003,92.12374999999996,85.89375000000018,2.9575000000000102,300.3175000000001,251.50750000000016,803.9937500000001
12.3,64.94624999999996,4.346250000000055,-0.0199999999999818,268.62625,108.99874999999996,100.26875000000018,3.2075000000000102,370.4425000000001,297.00750000000016,904.36875
12.4,74.82124999999996,4.846250000000055,-0.0199999999999818,321.87625,126.99874999999996,115.39375000000018,3.5825000000000102,449.4425000000001,345.13250000000016,1001.74375
12.5,85.32124999999996,5.471250000000055,-0.0199999999999818,378.00125,146.12374999999997,131.01875000000018,4.08250000000001,535.1925000000001,394.25750000000016,1093.11875
